m.title
"""Dancing at Lughnasa"""
"""Defending Your Life"""
"""Marvin's Room"""
"""Ironweed"""
"""Out of Africa"""
"""The Deer Hunter"""
"""The River Wild"""
"""Heartburn"""
"""Silkwood"""
"""Kramer vs. Kramer"""
"""The Bridges Of Madison County"""
"""She-Devil"""
"""The French Lieutenant's Woman"""
"""Death Becomes Her"""
